# Wave/freq Total
3.761066259e+00 2.3545243e-159
3.761091333e+00 1.2925202e-159
3.761116407e+00 6.7238334e-160
3.761141481e+00 3.3146884e-160
3.761166555e+00 1.5485143e-160
3.761191630e+00 6.8554365e-161
3.761216705e+00 2.8760928e-161
3.761241779e+00 1.1434548e-161
3.761266854e+00 4.3071088e-162
3.761291929e+00 1.5128153e-162
3.761317005e+00 3.9271737e-163
3.761342080e+00 3.8953477e-164
3.761367156e+00 8.0438850e-166
3.761392232e+00 3.9007177e-168
3.761417307e+00 2.9778483e-171
3.761442384e+00 3.6135400e-175
3.761467460e+00 6.1916877e-180
3.761492536e+00 1.2633189e-185
3.761517613e+00 2.0842054e-192
3.761542690e+00 3.2855089e-200
3.761567767e+00 2.1300906e-209
3.761592844e+00 2.4535527e-220
3.761617921e+00 1.0073367e-232
3.761642999e+00 2.6186595e-247
3.761668076e+00 1.9291327e-264
3.761693154e+00 1.1567887e-284
3.761718232e+00 1.1497303e-308
3.761743310e+00  0.0000000e+00
3.761768388e+00  0.0000000e+00
3.761793467e+00  0.0000000e+00
3.761818545e+00  0.0000000e+00
3.761843624e+00  0.0000000e+00
3.761868703e+00  0.0000000e+00
3.761893782e+00  0.0000000e+00
3.761918862e+00  0.0000000e+00
3.761943941e+00  0.0000000e+00
3.761969021e+00  0.0000000e+00
3.761994100e+00  0.0000000e+00
3.762019180e+00  0.0000000e+00
3.762044260e+00  0.0000000e+00
3.762069341e+00  0.0000000e+00
3.762094421e+00  0.0000000e+00
3.762119502e+00  0.0000000e+00
3.762144583e+00  0.0000000e+00
3.762169664e+00  0.0000000e+00
3.762194745e+00  0.0000000e+00
3.762219826e+00  0.0000000e+00
3.762244908e+00  0.0000000e+00
3.762269989e+00  0.0000000e+00
3.762295071e+00  0.0000000e+00
3.762320153e+00  0.0000000e+00
3.762345235e+00  0.0000000e+00
3.762370317e+00  0.0000000e+00
3.762395400e+00  0.0000000e+00
3.762420482e+00  0.0000000e+00
3.762445565e+00  0.0000000e+00
3.762470648e+00  0.0000000e+00
3.762495731e+00  0.0000000e+00
3.762520815e+00  0.0000000e+00
3.762545898e+00  0.0000000e+00
3.762570982e+00  0.0000000e+00
3.762596066e+00  0.0000000e+00
3.762621150e+00  0.0000000e+00
3.762646234e+00  0.0000000e+00
3.762671318e+00  0.0000000e+00
3.762696403e+00  0.0000000e+00
3.762721487e+00  0.0000000e+00
3.762746572e+00  0.0000000e+00
3.762771657e+00  0.0000000e+00
3.762796742e+00  0.0000000e+00
3.762821827e+00  0.0000000e+00
3.762846913e+00  0.0000000e+00
3.762871999e+00  0.0000000e+00
3.762897084e+00  0.0000000e+00
3.762922170e+00  0.0000000e+00
3.762947256e+00  0.0000000e+00
3.762972343e+00  0.0000000e+00
3.762997429e+00  0.0000000e+00
3.763022516e+00  0.0000000e+00
3.763047603e+00  0.0000000e+00
3.763072690e+00  0.0000000e+00
3.763097777e+00  0.0000000e+00
3.763122864e+00  0.0000000e+00
3.763147952e+00  0.0000000e+00
3.763173039e+00  0.0000000e+00
3.763198127e+00  0.0000000e+00
3.763223215e+00  0.0000000e+00
3.763248303e+00  0.0000000e+00
3.763273392e+00  0.0000000e+00
3.763298480e+00  0.0000000e+00
3.763323569e+00  0.0000000e+00
3.763348658e+00  0.0000000e+00
3.763373747e+00  0.0000000e+00
3.763398836e+00  0.0000000e+00
3.763423925e+00  0.0000000e+00
3.763449015e+00  0.0000000e+00
3.763474104e+00  0.0000000e+00
3.763499194e+00  0.0000000e+00
3.763524284e+00  0.0000000e+00
3.763549374e+00  0.0000000e+00
3.763574465e+00  0.0000000e+00
3.763599555e+00  0.0000000e+00
3.763624646e+00  0.0000000e+00
